The seminar leader was well prepared,The seminar leader gave interesting and informative classes,The seminar leader explained the subject clearly,The seminar leader was effective in leading the class or seminar,The seminar leader is receptive to students' questions,The seminar leader stimulates interest in the subject,The seminar leader stimulates discussion on the subject,The seminar leader stimulates me to think and learn,The seminar leader has a good rapport with the class,The seminar leader is available to answer questions during office hours,What have been the positive features of this module up to this point?,Were there any negative features of this module up to this point? What aspects of the module might be improved?,Any other comments
5,5,5,5,5,5,5,5,5,5,,,
5,5,5,5,5,5,5,5,5,5,"I think logic is very mentally demanding which is great, as it promotes active thinking and develops our understanding of arguments",No negative features,"Seminar leader is great, clearly explains everything and is always open for questions "
4,4,5,4,4,,4,4,,,,,
5,5,4,5,5,5,5,5,4,5,,,
5,5,5,4,5,5,4,4,5,5,The seminar leader is able to effectively and clearly explain difficult concepts using simple and concise language.,The class is held too early in the day for my liking and sometimes the classroom is maybe too big for everyone to be able to see the board. ,The seminar leader is friendly and responsive to inquiry.
5,5,5,5,5,5,5,5,5,5,"Hugo has explained any questions thoroughly, helping to build my understanding of logic. ",N/A,
5,4,5,5,5,4,5,5,5,5,Clear explanations,,
5,5,5,5,5,5,5,5,5,5,The seminars have been really great to actually understand how to solve the exercises,It’s perfect ,Well done
5,5,5,5,5,5,5,5,5,5,"The quality of the teaching, the content and the structure of formative assessments.",,
5,4,4,5,5,4,4,4,4,,,,
5,5,5,5,5,5,4,5,5,5,"The module does a great job of slowly building and introducing logic, it feels very natural without feeling sluggish or too rapid.",The connection to using logic in scenarios like developing an argument isn’t that strong.,None
5,5,5,5,5,5,4,5,4,4,The learning atmosphere feels really good and I feel that it helps straighten out things I was confused with in the lecture.,I wish we had more discussions with the people around us so we could connect with people in the seminar and find it easier to make friends in the course.,no
5,5,5,5,5,5,4,5,4,5,"Hugo Heagren teaches logic extremely well: he takes time to answer all questions, and he clearly likes the subject. ",,
5,5,5,5,5,5,5,5,5,5,"Thanks to this seminar, I was able to better understand the lectures, thank you!",,
5,5,5,5,5,5,5,5,5,5,,,
5,5,5,5,5,5,5,5,5,5,Really interesting and made me want to take a logic module in second year! ,,
4,4,4,5,5,3,4,4,4,5,Well taught and well explained,"Might need to spend longer on natural deduction, especially the rules and the specifics of them",N/A
5,5,5,5,5,5,5,5,4,5,,,
5,5,5,5,5,4,4,5,5,5,,,
5,5,5,5,5,5,5,5,5,5,"always available to answer questions, and making sure what is explained is clear to everyone ",none ,
5,4,4,4,5,5,4,4,5,5,"The consistency of lectures and seminars, I.e how it was taught. The lecturer’s/seminar leader’s friendliness with the class.",More simplified explanations/resources for logic. Genuinely struggled with this topic and was unprepared to deal with it. Managed to overcome it but wish I was aware of it sooner and had a more “baby-steps” approach to the content.,
5,4,5,5,5,5,4,5,5,5,A clear step by step approach that makes it easy to keep track of what we are learning.,A clear cheat-sheet provided with the simple breakdown of all the rules.,no
4,4,4,3,4,3,3,3,4,4,,,
5,5,5,5,5,5,5,5,5,5,"It’s been interesting to learn a new language altogether, that is also counterintuitive to traditional forms of languages, but also seeing how they interact and synergise to help make clearer arguments or evaluate them ","My only issue is that 1hr seems to be too short. especially for the technical classes like Semantics and Natural Deductions, there is only time to go through basic problems. E.g., the lecture does not cover everything and it would be nice if this can be carried on in the seminar (ND: Negation and biconditional rules were barely gone over) ",Nil. Thanks sm Hugo. Best seminar teacher in my time here at King’s (By FAR!!!) :)))))
5,4,4,5,5,4,3,4,4,4,Teachers are active and professional,"Reflection of weekly exercise and guidance, but it’s hard to achieve because of the limited time ",
5,5,5,5,5,5,5,5,5,,The module encourages critical thinking rather than passive learning.,I haven't encountered any negative features.,
5,5,5,5,4,5,4,4,4,5,My seminar leader has been very good at being clear and clarifying things that I didn't fully understand in the lecture. It was especially helpful going through examples in the seminars.,,
5,5,5,5,5,5,5,5,5,,Our seminar leader explained things very well to us because lectures sometimes were confusing.,Sometimes confusing lectures,Epic seminar leader
5,5,5,5,5,5,5,5,5,5,,,
5,5,5,5,4,4,5,5,4,5,the seminar leader encouraged us to ask questions without judgment ,some concepts were explained a bit too briefly ,
4,4,4,5,4,4,4,4,4,,,"Lack of ability to attend any office hours as they clash with other tutorials, though presumably out of tutorial leaders control",
4,4,4,4,4,4,4,4,4,4,,,
4,4,4,4,4,4,4,4,4,4,I think the seminars were very effective at smoothing out any misunderstandings of the content.,,
4,4,4,4,3,3,4,4,4,4,"Interesting, debate, engaging ","Confusing, we are a lot of people in the seminar ",
5,4,4,5,5,4,4,4,4,,,,
4,4,5,4,5,5,3,4,3,5,The examples explained board have helped me understand logic a lot better ,Sometimes I find the lectures a little confusing as the multitude of examples and the pace of the lecture ,N/A
5,4,4,5,5,5,5,5,5,5,"Learning a new language and developing new thinking skills to approach logic problems in a different method, learning about truth tables and proofs was interesting.","There’s a lot of reliance of halbachs manual, and there’s not much resources that follow gentzen notation. There should be more resources provided, especially for natural deduction. Carrs natural deduction pack is helpful, if there could be more it would be great.","Time management of the seminar and finishing content, sometimes as a class we get carried away with other questions that aren’t as relevant to the content we’re covering"
5,4,4,4,4,4,4,4,4,4,The seminar leader is very responsive to student questions  ,It’s still the start of the module so I didn’t see any flaws , No
5,5,4,5,5,5,4,5,5,3,Good explanations and clear responses to questions, especially with details not presented in the readings like motivation for studying and why we build up to what we are working towards,Office hours clash with my other classes
5,5,5,5,5,5,5,5,5,5,Lecturer is very engaging. Maintains good class engagement and is generally fun to learn from ,None ,
