The seminar leader was well prepared,The seminar leader gave interesting and informative classes,The seminar leader explained the subject clearly,The seminar leader was effective in leading the class or seminar,The seminar leader is receptive to students' questions,The seminar leader stimulates interest in the subject,The seminar leader stimulates discussion on the subject,The seminar leader stimulates me to think and learn,The seminar leader has a good rapport with the class,The seminar leader is available to answer questions during office hours,What have been the positive features of this module up to this point?,Were there any negative features of this module up to this point? What aspects of the module might be improved?,Any other comments
5,4,4,4,4,4,4,5,4,0,"Good weekly structure, well-organised!",Could be more discussion in seminars.,
4,4,5,4,4,4,5,4,4,0,Interesting to think deeper about topics I've never considered.,,
4,4,4,5,5,4,5,4,4,0,,,
5,4,4,4,4,4,5,5,4,4,The contrast it has compared to the biological sciences gives me a different view point in understanding,,
4,3,2,4,4,3,3,3,2,0,,,
5,4,4,5,5,5,5,5,4,5,,,
4,4,4,5,5,5,5,4,4,4,The readings have been very interesting - seminars are informative and increase my understanding of the difficult concepts - Hugo explains and summarises things clearly in a way that’s easy to understand ,,
5,4,4,5,4,4,3,3,3,0,,,I think Hugo goes through the discussion points as if we’ve completely understood the content but most of the time a few us don’t have a complete grasp on it- when we ask he explains them well but I think it would be helpful if he gave a brief overview of the reading and philosophical theories before we discussed. 
5,5,4,4,5,5,5,5,5,4,The seminar leader did a really great job and make me understand the topic a bit more than just by reading it myself.,,"Great job, I really like the flow of the content and reading the articles, kinda of opens my mind to what other people might think"
5,4,3,4,3,4,4,4,4,5,,,
4,5,3,4,5,4,4,4,4,4,,,
